fips,population
21165.0,6451
21167.0,21774
21169.0,10030
21171.0,10718
21173.0,28203
21175.0,13345
21177.0,30774
21179.0,45851
21181.0,7166
21183.0,24087
21185.0,66470
21187.0,10880
21189.0,4472
21191.0,14529
21193.0,26092
21195.0,58402
21197.0,12442
21199.0,64623
21201.0,2135
21203.0,16750
21205.0,24583
21207.0,17821
21209.0,56031
21211.0,48518
21213.0,18529
21215.0,18794
21217.0,25549
21219.0,12311
21221.0,14643
21223.0,8515
21225.0,14505
21227.0,131264
21229.0,12084
21231.0,20468
21233.0,13111
21235.0,36242
21237.0,7177
21239.0,26533
22001.0,62190
22003.0,25605
22005.0,124672
22007.0,22300
22009.0,40462
22011.0,37253
22013.0,13308
22015.0,127185
22017.0,242922
22019.0,203112
22021.0,9960
22023.0,6968
22025.0,9608
22027.0,15944
22029.0,19572
22031.0,27436
22033.0,440956
22033.0,7037
22033.0,19305
22035.0,440956
22035.0,7037
22035.0,19305
22037.0,440956
22037.0,7037
22037.0,19305
22039.0,33443
22041.0,20156
22043.0,22482
22045.0,70941
22047.0,32721
22049.0,15902
22051.0,434051
22051.0,31582
22053.0,434051
22053.0,31582
22055.0,242782
22057.0,98115
22059.0,14917
22061.0,47196
22063.0,139567
22065.0,11161
22067.0,25398
22069.0,38659
22071.0,391006
22073.0,154475
22075.0,23410
22077.0,21940
22079.0,130562
22081.0,8477
22083.0,20192
22085.0,24032
22087.0,46721
22087.0,52879
22087.0,10262
22087.0,21037
22087.0,43184
22087.0,82764
22087.0,53621
22087.0,49774
22087.0,258111
22089.0,46721
22089.0,52879
22089.0,10262
22089.0,21037
22089.0,43184
22089.0,82764
22089.0,53621
22089.0,49774
22089.0,258111
22091.0,46721
22091.0,52879
22091.0,10262
22091.0,21037
22091.0,43184
22091.0,82764
22091.0,53621
22091.0,49774
22091.0,258111
22093.0,46721
22093.0,52879
22093.0,10262
22093.0,21037
22093.0,43184
22093.0,82764
22093.0,53621
22093.0,49774
22093.0,258111
22095.0,46721
22095.0,52879
22095.0,10262
22095.0,21037
22095.0,43184
22095.0,82764
22095.0,53621
22095.0,49774
22095.0,258111
22097.0,46721
22097.0,52879
22097.0,10262
22097.0,21037
22097.0,43184
22097.0,82764
22097.0,53621
22097.0,49774
22097.0,258111
22099.0,46721
22099.0,52879
22099.0,10262
22099.0,21037
22099.0,43184
22099.0,82764
22099.0,53621
22099.0,49774
22099.0,258111
22101.0,46721
22101.0,52879
22101.0,10262
22101.0,21037
22101.0,43184
22101.0,82764
22101.0,53621
22101.0,49774
22101.0,258111
22103.0,46721
22103.0,52879
22103.0,10262
22103.0,21037
22103.0,43184
22103.0,82764
22103.0,53621
22103.0,49774
22103.0,258111
22105.0,133777
22107.0,4462
22109.0,111021
22111.0,22330
22113.0,59830
22115.0,48860
22117.0,46582
22119.0,38798
22121.0,26427
22121.0,10982
22121.0,15460
22123.0,26427
22123.0,10982
22123.0,15460
22125.0,26427
22125.0,10982
22125.0,15460
22127.0,14134
23001.0,107679
23003.0,67111
23005.0,293557
23007.0,29897
23009.0,54811
23011.0,122083
23013.0,39771
23015.0,34342
23017.0,57618
23019.0,151096
23021.0,16800
23023.0,35634
