fips,County,State,Total_Confirmed,Total_Deaths
55037.0,Florence,Wisconsin,161179.0,4182.0
55061.0,Kewaunee,Wisconsin,873370.0,10432.0
55137.0,Waushara,Wisconsin,822520.0,10352.0
55065.0,Lafayette,Wisconsin,546342.0,2643.0
55113.0,Sawyer,Wisconsin,537800.0,7194.0
55095.0,Polk,Wisconsin,1361407.0,15966.0
55099.0,Price,Wisconsin,411067.0,2167.0
55047.0,Green Lake,Wisconsin,665396.0,6541.0
55129.0,Washburn,Wisconsin,460776.0,6255.0
55123.0,Vernon,Wisconsin,627425.0,12045.0
55069.0,Lincoln,Wisconsin,1014851.0,26016.0
55041.0,Forest,Wisconsin,350153.0,8898.0
55013.0,Burnett,Wisconsin,460799.0,7635.0
55091.0,Pepin,Wisconsin,270307.0,2020.0
55067.0,Langlade,Wisconsin,711884.0,14899.0
55119.0,Taylor,Wisconsin,666885.0,10225.0
48029.0,Bexar,Texas,70036813.0,1110656.0
48157.0,Fort Bend,Texas,21133062.0,225114.0
48201.0,Harris,Texas,131747064.0,2046295.0
48085.0,Collin,Texas,27413680.0,243144.0
48113.0,Dallas,Texas,98363972.0,1244905.0
48339.0,Montgomery,Texas,16669515.0,177603.0
48439.0,Tarrant,Texas,80861998.0,1018361.0
48183.0,Gregg,Texas,3691902.0,104431.0
48027.0,Bell,Texas,7544581.0,126226.0
48141.0,El Paso,Texas,42942759.0,808099.0
48167.0,Galveston,Texas,13074740.0,139511.0
48423.0,Smith,Texas,6703842.0,142594.0
48453.0,Travis,Texas,28074554.0,337610.0
48039.0,Brazoria,Texas,12223090.0,156662.0
48209.0,Hays,Texas,6834223.0,78703.0
48121.0,Denton,Texas,22471118.0,222485.0
48037.0,Bowie,Texas,2310941.0,69775.0
48321.0,Matagorda,Texas,1245676.0,36122.0
48041.0,Brazos,Texas,8283844.0,79953.0
48139.0,Ellis,Texas,7007071.0,96075.0
48303.0,Lubbock,Texas,16614258.0,248538.0
48285.0,Lavaca,Texas,835063.0,25556.0
48309.0,McLennan,Texas,9094566.0,147609.0
48325.0,Medina,Texas,1527914.0,34508.0
48401.0,Rusk,Texas,1345781.0,31129.0
48479.0,Webb,Texas,14585235.0,269490.0
48485.0,Wichita,Texas,4773999.0,107692.0
48491.0,Williamson,Texas,14393668.0,146802.0
48061.0,Cameron,Texas,15320598.0,579173.0
48103.0,Crane,Texas,177102.0,4339.0
48123.0,DeWitt,Texas,701959.0,21782.0
48251.0,Johnson,Texas,5966733.0,105739.0
48467.0,Van Zandt,Texas,1374749.0,36371.0
48049.0,Brown,Texas,1379219.0,42326.0
48067.0,Cass,Texas,670742.0,25796.0
48147.0,Fannin,Texas,1046906.0,31526.0
48219.0,Hockley,Texas,883725.0,31794.0
48459.0,Upshur,Texas,1026393.0,21014.0
48021.0,Bastrop,Texas,2851744.0,30514.0
48069.0,Castro,Texas,330603.0,9215.0
48117.0,Deaf Smith,Texas,1001133.0,23176.0
48329.0,Midland,Texas,5718679.0,87347.0
48359.0,Oldham,Texas,77117.0,1350.0
48375.0,Potter,Texas,6260991.0,139035.0
48343.0,Morris,Texas,291066.0,9210.0
48071.0,Chambers,Texas,1647007.0,16664.0
48091.0,Comal,Texas,3614127.0,103070.0
48145.0,Falls,Texas,627888.0,9442.0
48181.0,Grayson,Texas,3510343.0,99011.0
48215.0,Hidalgo,Texas,28717461.0,1019714.0
48245.0,Jefferson,Texas,6944053.0,135301.0
48355.0,Nueces,Texas,14420499.0,283769.0
48367.0,Parker,Texas,4749779.0,55220.0
48469.0,Victoria,Texas,3159805.0,70721.0
48013.0,Atascosa,Texas,1749441.0,43832.0
48015.0,Austin,Texas,661801.0,10513.0
48031.0,Blanco,Texas,225489.0,6077.0
48053.0,Burnet,Texas,1425076.0,19650.0
48099.0,Coryell,Texas,2252782.0,24518.0
48133.0,Eastland,Texas,408562.0,13208.0
48143.0,Erath,Texas,1333957.0,20273.0
48149.0,Fayette,Texas,793857.0,20267.0
48165.0,Gaines,Texas,487517.0,13303.0
48185.0,Grimes,Texas,1193063.0,23805.0
48187.0,Guadalupe,Texas,4623400.0,67894.0
48189.0,Hale,Texas,2115770.0,52687.0
